space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume,funding_rate
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T00:00:00Z,venue:binance,0.1654,0.1657,0.1643,0.1648,31619326,5221164.1023,-0.00013137
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T01:00:00Z,venue:binance,0.1648,0.1649,0.163,0.1636,27432308,4493099.5894,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T02:00:00Z,venue:binance,0.1635,0.1636,0.1619,0.1627,39591624,6439598.1338,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T03:00:00Z,venue:binance,0.1627,0.1641,0.1624,0.1641,29206175,4769958.5763,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T04:00:00Z,venue:binance,0.1641,0.1643,0.163,0.1636,35376324,5789826.2156,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T05:00:00Z,venue:binance,0.1635,0.1644,0.1628,0.1643,24577415,4014231.582,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T06:00:00Z,venue:binance,0.1644,0.1654,0.164,0.1641,28129487,4630367.9227,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T07:00:00Z,venue:binance,0.1642,0.1642,0.1625,0.163,24250723,3960537.3752,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T08:00:00Z,venue:binance,0.163,0.1637,0.1626,0.1636,19840001,3237412.7292,5.814e-05
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T09:00:00Z,venue:binance,0.1636,0.1654,0.1634,0.164,33345253,5485414.6647,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T10:00:00Z,venue:binance,0.164,0.1647,0.1638,0.1643,42978266,7061273.6453,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T11:00:00Z,venue:binance,0.1644,0.1654,0.1642,0.1645,51816812,8533932.9999,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T12:00:00Z,venue:binance,0.1646,0.167,0.164,0.1668,58758121,9721081.8399,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T13:00:00Z,venue:binance,0.1669,0.1693,0.1656,0.1662,111916136,18760684.0903,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T14:00:00Z,venue:binance,0.1662,0.1669,0.1652,0.1664,40376903,6710849.1208,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T15:00:00Z,venue:binance,0.1664,0.1665,0.1654,0.1655,35467952,5883756.4631,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T16:00:00Z,venue:binance,0.1655,0.1658,0.1623,0.1635,76954130,12598904.4745,-1.711e-05
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T17:00:00Z,venue:binance,0.1634,0.1652,0.1633,0.1647,28439854,4671661.6856,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T18:00:00Z,venue:binance,0.1646,0.1654,0.1634,0.1637,28892975,4753278.2519000005,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T19:00:00Z,venue:binance,0.1636,0.1644,0.1629,0.1635,28290254,4630647.3557,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T20:00:00Z,venue:binance,0.1635,0.1651,0.1633,0.1644,24560651,4036101.6086,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T21:00:00Z,venue:binance,0.1645,0.1649,0.1638,0.1645,14093748,2316917.4052,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T22:00:00Z,venue:binance,0.1645,0.1655,0.1642,0.1652,24836311,4095846.1032,
crypto_market,perpetual_kline_1h,ADA-USDT,1H,2026-07-15T23:00:00Z,venue:binance,0.1652,0.1661,0.1648,0.165,21363533,3534416.8346,
crypto_market,perpetual_kline_1h,AVAX-USDT,1H,2026-07-15T00:00:00Z,venue:binance,6.71,6.755,6.662,6.675,607771,4077497.737,0.0001
