space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T00:00:00Z,venue:binance,0.1656,0.1659,0.1644,0.1648,4520275.9,746594.98559
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T01:00:00Z,venue:binance,0.1648,0.1649,0.1631,0.1636,2817015.8,462098.74299
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T02:00:00Z,venue:binance,0.1637,0.1637,0.162,0.1627,4450401.7,724245.82787
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T03:00:00Z,venue:binance,0.1628,0.1642,0.1625,0.1641,3562101.4,582643.14222
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T04:00:00Z,venue:binance,0.1642,0.1645,0.1632,0.1636,5842004.3,956784.31389
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T05:00:00Z,venue:binance,0.1637,0.1645,0.1629,0.1645,1988638.6,325146.62965
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T06:00:00Z,venue:binance,0.1645,0.1656,0.1642,0.1642,4370207.3,720512.58222
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T07:00:00Z,venue:binance,0.1642,0.1642,0.1626,0.1632,4595260.7,751207.0683500001
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T08:00:00Z,venue:binance,0.1632,0.1639,0.1627,0.1637,1829003.8,298595.04658
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T09:00:00Z,venue:binance,0.1638,0.1655,0.1637,0.1642,5947709.0,978970.21732
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T10:00:00Z,venue:binance,0.1641,0.1648,0.164,0.1645,2032126.6,334205.42711
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T11:00:00Z,venue:binance,0.1645,0.1655,0.1644,0.1646,4896342.2,807636.01883
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T12:00:00Z,venue:binance,0.1646,0.1672,0.1642,0.167,9304281.7,1541669.30939
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T13:00:00Z,venue:binance,0.167,0.1694,0.1658,0.1663,11672004.5,1958537.89221
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T14:00:00Z,venue:binance,0.1664,0.167,0.1654,0.1665,5431287.0,903529.61064
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T15:00:00Z,venue:binance,0.1666,0.1666,0.1654,0.1657,6782568.3,1125874.41213
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T16:00:00Z,venue:binance,0.1658,0.1659,0.1625,0.1636,7280461.6,1193696.36396
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T17:00:00Z,venue:binance,0.1636,0.1654,0.1635,0.1649,4022410.2,661550.40289
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T18:00:00Z,venue:binance,0.1649,0.1655,0.1635,0.1637,3132896.5,515564.29628
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T19:00:00Z,venue:binance,0.1638,0.1645,0.1631,0.1637,3746724.0,613773.11306
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T20:00:00Z,venue:binance,0.1637,0.1653,0.1635,0.1646,4848184.100000001,797936.14832
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T21:00:00Z,venue:binance,0.1645,0.1651,0.1641,0.1646,1638785.1,269636.71391
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T22:00:00Z,venue:binance,0.1646,0.1656,0.1644,0.1654,3041530.0,502305.50649
crypto_market,spot_kline_1h,ADA-USDT,1H,2026-07-15T23:00:00Z,venue:binance,0.1655,0.1663,0.165,0.1651,3192709.7,528651.28688
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T00:00:00Z,venue:binance,6.713,6.757,6.665,6.678,90550.66,608161.10265
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T01:00:00Z,venue:binance,6.678,6.69,6.638,6.643,58916.98,392502.58038
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T02:00:00Z,venue:binance,6.642,6.646,6.609,6.61,30745.69,203740.17778
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T03:00:00Z,venue:binance,6.61,6.667,6.606,6.658,41400.85,274339.44624
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T04:00:00Z,venue:binance,6.657,6.672,6.636,6.661,37410.24,249028.743
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T05:00:00Z,venue:binance,6.662,6.69,6.635,6.685,24087.79,160345.05962
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T06:00:00Z,venue:binance,6.686,6.734,6.682,6.684,72824.77,488597.16299
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T07:00:00Z,venue:binance,6.685,6.685,6.609,6.621,35861.33,238284.04809
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T08:00:00Z,venue:binance,6.622,6.659,6.614,6.653,49991.48,331514.33904
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T09:00:00Z,venue:binance,6.652,6.689,6.652,6.663,26357.43,175880.49108
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T10:00:00Z,venue:binance,6.662,6.683,6.652,6.654,18376.47,122472.41472
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T11:00:00Z,venue:binance,6.655,6.687,6.653,6.669,31331.55,208955.30493
crypto_market,spot_kline_1h,AVAX-USDT,1H,2026-07-15T12:00:00Z,venue:binance,6.669,6.756,6.658,6.746,102937.2,691068.4781000001
