space_id,dataset_id,subject_id,freq,data_time,open,high,low,close,volume,amount
stock_cn,stock_kline,sh600000,1d,2026-07-02T15:00:00+08:00,8.71,8.84,8.56,8.7,71137604.0,618574645.0
stock_cn,stock_kline,sh600000,1d,2026-07-03T15:00:00+08:00,8.69,8.82,8.59,8.69,69513349.0,604291542.0
stock_cn,stock_kline,sh600000,1d,2026-07-06T15:00:00+08:00,8.68,8.93,8.62,8.92,79376206.0,698878044.0
stock_cn,stock_kline,sh600000,1d,2026-07-07T15:00:00+08:00,8.89,8.97,8.78,8.89,51779460.0,458252574.0
stock_cn,stock_kline,sh600000,1d,2026-07-08T15:00:00+08:00,8.85,9.03,8.79,9.0,54468742.0,488055514.0
stock_cn,stock_kline,sh600000,1d,2026-07-09T15:00:00+08:00,8.97,9.01,8.87,8.98,49029732.0,438686946.0
stock_cn,stock_kline,sh600000,1d,2026-07-10T15:00:00+08:00,8.98,9.11,8.92,9.06,76502191.0,691188280.0
stock_cn,stock_kline,sh600000,1d,2026-07-13T15:00:00+08:00,9.04,9.21,9.01,9.19,75761962.0,693325381.0
stock_cn,stock_kline,sh600000,1d,2026-07-14T15:00:00+08:00,9.2,9.21,9.07,9.16,81396248.0,743787542.0
stock_cn,stock_kline,sh600000,1d,2026-07-15T15:00:00+08:00,9.08,9.32,9.06,9.31,104758150.0,966740068.0
stock_cn,stock_kline,sh600036,1d,2026-07-02T15:00:00+08:00,36.28,36.8,36.13,36.6,94461448.0,3442082753.0
stock_cn,stock_kline,sh600036,1d,2026-07-03T15:00:00+08:00,36.67,37.06,36.35,36.83,85312390.0,3133647736.0
stock_cn,stock_kline,sh600036,1d,2026-07-06T15:00:00+08:00,36.7,37.76,36.52,37.73,97154407.0,3625395505.0
stock_cn,stock_kline,sh600036,1d,2026-07-07T15:00:00+08:00,37.72,37.86,37.3,37.55,65258740.0,2448739027.0
stock_cn,stock_kline,sh600036,1d,2026-07-08T15:00:00+08:00,37.36,37.97,37.15,37.94,76713452.0,2899053623.0
stock_cn,stock_kline,sh600036,1d,2026-07-09T15:00:00+08:00,37.7,37.81,37.37,37.55,76564557.0,2875450172.0
stock_cn,stock_kline,sh600036,1d,2026-07-10T15:00:00+08:00,36.61,36.92,36.33,36.88,79377153.0,2911440764.0
stock_cn,stock_kline,sh600036,1d,2026-07-13T15:00:00+08:00,36.81,37.4,36.71,37.25,93308476.0,3469591941.0
stock_cn,stock_kline,sh600036,1d,2026-07-14T15:00:00+08:00,37.1,37.24,36.82,37.18,80415432.0,2979122982.0
stock_cn,stock_kline,sh600036,1d,2026-07-15T15:00:00+08:00,37.0,37.96,36.75,37.76,115462595.0,4337619113.0
stock_cn,stock_kline,sh600519,1d,2026-07-02T15:00:00+08:00,1193.01,1215.52,1190.51,1203.0,5087015.0,6122360932.0
stock_cn,stock_kline,sh600519,1d,2026-07-03T15:00:00+08:00,1205.24,1210.14,1185.0,1194.45,3426755.0,4099266243.0
stock_cn,stock_kline,sh600519,1d,2026-07-06T15:00:00+08:00,1186.0,1215.0,1180.0,1206.91,4097001.0,4913750668.0
stock_cn,stock_kline,sh600519,1d,2026-07-07T15:00:00+08:00,1200.0,1202.0,1188.11,1188.8,2736500.0,3264967794.0
stock_cn,stock_kline,sh600519,1d,2026-07-08T15:00:00+08:00,1188.77,1200.98,1177.0,1199.3,2577602.0,3071933498.0
stock_cn,stock_kline,sh600519,1d,2026-07-09T15:00:00+08:00,1191.0,1191.99,1178.0,1182.19,3409634.0,4035216946.0
stock_cn,stock_kline,sh600519,1d,2026-07-10T15:00:00+08:00,1182.2,1204.98,1170.28,1204.98,5221255.0,6223343642.0
stock_cn,stock_kline,sh600519,1d,2026-07-13T15:00:00+08:00,1197.12,1215.0,1190.19,1210.99,4198257.0,5056689558.0
stock_cn,stock_kline,sh600519,1d,2026-07-14T15:00:00+08:00,1208.99,1226.87,1205.0,1214.88,4352726.0,5294785036.0
stock_cn,stock_kline,sh600519,1d,2026-07-15T15:00:00+08:00,1203.66,1256.6,1198.66,1251.06,7194371.0,8922861367.0
stock_cn,stock_kline,sh601318,1d,2026-07-02T15:00:00+08:00,49.35,50.2,48.8,48.92,92012954.0,4528699940.0
stock_cn,stock_kline,sh601318,1d,2026-07-03T15:00:00+08:00,49.5,49.78,48.31,49.09,80333122.0,3933213372.0
stock_cn,stock_kline,sh601318,1d,2026-07-06T15:00:00+08:00,49.05,50.2,48.81,50.1,94495634.0,4688935744.0
stock_cn,stock_kline,sh601318,1d,2026-07-07T15:00:00+08:00,49.93,50.22,49.17,49.29,69767509.0,3454770845.0
stock_cn,stock_kline,sh601318,1d,2026-07-08T15:00:00+08:00,49.36,49.8,48.96,49.54,54099529.0,2678589604.0
stock_cn,stock_kline,sh601318,1d,2026-07-09T15:00:00+08:00,49.26,49.61,48.91,49.49,66236870.0,3259894112.0
stock_cn,stock_kline,sh601318,1d,2026-07-10T15:00:00+08:00,49.47,49.97,48.97,49.48,76494557.0,3787725071.0
stock_cn,stock_kline,sh601318,1d,2026-07-13T15:00:00+08:00,49.36,49.73,49.11,49.53,71652351.0,3539328300.0
stock_cn,stock_kline,sh601318,1d,2026-07-14T15:00:00+08:00,49.5,49.76,48.5,49.6,97987332.0,4809693613.0
stock_cn,stock_kline,sh601318,1d,2026-07-15T15:00:00+08:00,49.58,51.2,49.45,50.95,128669396.0,6486059071.0
stock_cn,stock_kline,sh601398,1d,2026-07-02T15:00:00+08:00,7.03,7.14,7.0,7.05,358475722.0,2528095306.0
stock_cn,stock_kline,sh601398,1d,2026-07-03T15:00:00+08:00,7.03,7.08,7.0,7.04,304072257.0,2138079209.0
stock_cn,stock_kline,sh601398,1d,2026-07-06T15:00:00+08:00,7.02,7.12,6.95,7.12,378269376.0,2661206278.0
stock_cn,stock_kline,sh601398,1d,2026-07-07T15:00:00+08:00,7.09,7.28,7.08,7.26,461931983.0,3320498454.0
stock_cn,stock_kline,sh601398,1d,2026-07-08T15:00:00+08:00,7.22,7.38,7.16,7.37,431624154.0,3165690982.0
stock_cn,stock_kline,sh601398,1d,2026-07-09T15:00:00+08:00,7.33,7.34,7.23,7.27,403992458.0,2938322648.0
stock_cn,stock_kline,sh601398,1d,2026-07-10T15:00:00+08:00,7.24,7.33,7.23,7.33,406838242.0,2963875395.0
stock_cn,stock_kline,sh601398,1d,2026-07-13T15:00:00+08:00,7.31,7.54,7.29,7.53,650783514.0,4856618966.0
stock_cn,stock_kline,sh601398,1d,2026-07-14T15:00:00+08:00,7.46,7.54,7.42,7.5,476481952.0,3562493826.0
stock_cn,stock_kline,sh601398,1d,2026-07-15T15:00:00+08:00,7.43,7.52,7.4,7.51,402361817.0,3001141639.0
stock_cn,stock_kline,sz000001,1d,2026-07-02T15:00:00+08:00,10.2,10.36,10.17,10.28,100474867.0,1030886382.42
stock_cn,stock_kline,sz000001,1d,2026-07-03T15:00:00+08:00,10.29,10.4,10.18,10.29,86332664.0,888789393.37
stock_cn,stock_kline,sz000001,1d,2026-07-06T15:00:00+08:00,10.25,10.52,10.22,10.5,106104863.0,1103902583.44
stock_cn,stock_kline,sz000001,1d,2026-07-07T15:00:00+08:00,10.46,10.51,10.35,10.47,80522115.0,840465778.05
stock_cn,stock_kline,sz000001,1d,2026-07-08T15:00:00+08:00,10.44,10.63,10.34,10.6,95076022.0,1002624597.24
stock_cn,stock_kline,sz000001,1d,2026-07-09T15:00:00+08:00,10.55,10.59,10.43,10.49,74719101.0,785387063.07
stock_cn,stock_kline,sz000001,1d,2026-07-10T15:00:00+08:00,10.5,10.51,10.4,10.45,95732035.0,999718249.32
stock_cn,stock_kline,sz000001,1d,2026-07-13T15:00:00+08:00,10.42,10.55,10.38,10.54,92474624.0,971033144.43
stock_cn,stock_kline,sz000001,1d,2026-07-14T15:00:00+08:00,10.53,10.7,10.48,10.69,119371535.0,1267511183.68
stock_cn,stock_kline,sz000001,1d,2026-07-15T15:00:00+08:00,10.65,10.87,10.63,10.84,98142155.0,1059209085.47
stock_cn,stock_kline,sz000333,1d,2026-07-02T15:00:00+08:00,77.61,79.26,76.98,77.01,56146785.0,4362682503.19
stock_cn,stock_kline,sz000333,1d,2026-07-03T15:00:00+08:00,77.5,79.9,77.31,77.96,55780335.0,4376620902.01
stock_cn,stock_kline,sz000333,1d,2026-07-06T15:00:00+08:00,78.6,80.15,78.0,80.0,50383690.0,4006480144.8
stock_cn,stock_kline,sz000333,1d,2026-07-07T15:00:00+08:00,79.43,80.35,78.65,79.12,34065422.0,2696340985.93
stock_cn,stock_kline,sz000333,1d,2026-07-08T15:00:00+08:00,78.75,79.96,78.33,79.41,31545922.0,2505012479.57
stock_cn,stock_kline,sz000333,1d,2026-07-09T15:00:00+08:00,79.0,79.59,78.0,79.33,30121549.0,2381427420.59
stock_cn,stock_kline,sz000333,1d,2026-07-10T15:00:00+08:00,79.14,79.3,77.86,78.99,27961858.0,2201420876.34
stock_cn,stock_kline,sz000333,1d,2026-07-13T15:00:00+08:00,78.5,80.67,78.42,80.4,47041628.0,3769459400.78
stock_cn,stock_kline,sz000333,1d,2026-07-14T15:00:00+08:00,80.43,82.0,79.91,81.18,45750333.0,3706958309.33
stock_cn,stock_kline,sz000333,1d,2026-07-15T15:00:00+08:00,81.17,82.76,80.58,82.67,33221104.0,2726356542.89
stock_cn,stock_kline,sz000651,1d,2026-07-02T15:00:00+08:00,37.5,38.25,37.5,38.0,64658110.0,2453608761.33
stock_cn,stock_kline,sz000651,1d,2026-07-03T15:00:00+08:00,38.21,38.87,37.93,38.33,58954326.0,2264188102.14
stock_cn,stock_kline,sz000651,1d,2026-07-06T15:00:00+08:00,38.33,39.1,38.06,39.0,61901125.0,2395884044.8
stock_cn,stock_kline,sz000651,1d,2026-07-07T15:00:00+08:00,38.82,38.94,38.3,38.4,40120856.0,1543157518.01
stock_cn,stock_kline,sz000651,1d,2026-07-08T15:00:00+08:00,38.3,38.7,38.08,38.54,30697061.0,1180437144.21
stock_cn,stock_kline,sz000651,1d,2026-07-09T15:00:00+08:00,38.4,38.41,38.05,38.24,29216322.0,1115583386.3
stock_cn,stock_kline,sz000651,1d,2026-07-10T15:00:00+08:00,38.18,38.48,37.75,38.25,38663225.0,1475262144.54
stock_cn,stock_kline,sz000651,1d,2026-07-13T15:00:00+08:00,38.2,38.86,38.12,38.71,49507298.0,1913299397.08
stock_cn,stock_kline,sz000651,1d,2026-07-14T15:00:00+08:00,38.63,39.19,38.63,39.18,49896226.0,1942817893.26
stock_cn,stock_kline,sz000651,1d,2026-07-15T15:00:00+08:00,39.04,39.88,39.0,39.83,57960144.0,2294782157.72
stock_cn,stock_kline,sz000858,1d,2026-07-02T15:00:00+08:00,74.94,75.44,73.34,73.5,35020556.0,2591988291.98
stock_cn,stock_kline,sz000858,1d,2026-07-03T15:00:00+08:00,73.64,74.71,72.6,73.21,33825035.0,2488093356.99
stock_cn,stock_kline,sz000858,1d,2026-07-06T15:00:00+08:00,72.91,74.57,72.64,73.76,34584259.0,2548673274.84
stock_cn,stock_kline,sz000858,1d,2026-07-07T15:00:00+08:00,73.59,73.6,71.68,71.72,35673127.0,2580655043.23
stock_cn,stock_kline,sz000858,1d,2026-07-08T15:00:00+08:00,71.7,72.27,71.22,71.48,23207769.0,1663105717.29
stock_cn,stock_kline,sz000858,1d,2026-07-09T15:00:00+08:00,71.0,71.5,70.52,70.9,24192142.0,1713141688.85
stock_cn,stock_kline,sz000858,1d,2026-07-10T15:00:00+08:00,71.11,74.31,70.69,73.69,55965462.0,4085872492.79
stock_cn,stock_kline,sz000858,1d,2026-07-13T15:00:00+08:00,73.06,73.45,72.15,72.82,30602266.0,2224717872.55
stock_cn,stock_kline,sz000858,1d,2026-07-14T15:00:00+08:00,72.51,73.49,72.38,73.4,28356827.0,2068769750.05
stock_cn,stock_kline,sz000858,1d,2026-07-15T15:00:00+08:00,72.44,76.47,72.01,76.4,63734909.0,4805702853.56
stock_cn,stock_kline,sz300750,1d,2026-07-02T15:00:00+08:00,387.68,390.99,380.39,382.35,34075435.0,13139767259.36
stock_cn,stock_kline,sz300750,1d,2026-07-03T15:00:00+08:00,381.96,387.95,379.0,380.0,25884940.0,9910832542.24
stock_cn,stock_kline,sz300750,1d,2026-07-06T15:00:00+08:00,379.23,381.89,374.05,374.51,21648005.0,8167456241.12
stock_cn,stock_kline,sz300750,1d,2026-07-07T15:00:00+08:00,376.0,378.88,370.76,372.49,20848582.0,7796643168.18
stock_cn,stock_kline,sz300750,1d,2026-07-08T15:00:00+08:00,374.0,376.68,361.0,361.0,27051874.0,9902742689.32
stock_cn,stock_kline,sz300750,1d,2026-07-09T15:00:00+08:00,361.0,376.66,360.07,375.5,37794162.0,13905775669.81
stock_cn,stock_kline,sz300750,1d,2026-07-10T15:00:00+08:00,375.0,375.2,346.16,348.76,55601355.0,19867664607.17
stock_cn,stock_kline,sz300750,1d,2026-07-13T15:00:00+08:00,349.0,362.0,348.0,359.06,46290681.0,16540015163.16
stock_cn,stock_kline,sz300750,1d,2026-07-14T15:00:00+08:00,352.6,364.63,352.49,364.01,43631637.0,15701875681.92
stock_cn,stock_kline,sz300750,1d,2026-07-15T15:00:00+08:00,368.01,379.99,363.08,373.0,35849258.0,13440215220.78
