space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,amount
stock_cn,stock_cn_kline,sh600036,1H,2026-07-16T14:00:00+08:00,,37.66,37.88,37.64,37.66,11933680.0,450729900.0
stock_cn,stock_cn_kline,sh600036,1H,2026-07-16T15:00:00+08:00,,37.67,37.7,37.54,37.67,17911166.0,673703100.0
stock_cn,stock_cn_kline,sh600100,1H,2026-07-16T10:30:00+08:00,,6.68,6.77,6.63,6.75,12433548.0,83420623.0
stock_cn,stock_cn_kline,sh600100,1H,2026-07-16T11:30:00+08:00,,6.75,6.79,6.71,6.73,5161201.0,34847776.0
stock_cn,stock_cn_kline,sh600100,1H,2026-07-16T14:00:00+08:00,,6.73,6.74,6.7,6.71,3655101.0,24544601.0
stock_cn,stock_cn_kline,sh600100,1H,2026-07-16T15:00:00+08:00,,6.72,6.72,6.64,6.67,7394200.0,49349550.0
stock_cn,stock_cn_kline,sh600188,1H,2026-07-16T10:30:00+08:00,,19.95,20.12,19.3,19.51,31582921.0,619864950.0
stock_cn,stock_cn_kline,sh600188,1H,2026-07-16T11:30:00+08:00,,19.54,19.7,19.32,19.48,7267690.0,141513870.0
stock_cn,stock_cn_kline,sh600188,1H,2026-07-16T14:00:00+08:00,,19.49,19.56,19.31,19.31,5906940.0,114491590.0
stock_cn,stock_cn_kline,sh600188,1H,2026-07-16T15:00:00+08:00,,19.31,19.61,19.05,19.47,10182429.0,196914360.0
stock_cn,stock_cn_kline,sh600285,1H,2026-07-16T10:30:00+08:00,,22.65,23.18,22.61,22.82,6095400.0,139431320.0
stock_cn,stock_cn_kline,sh600285,1H,2026-07-16T11:30:00+08:00,,22.8,22.95,22.66,22.79,2052200.0,46811860.0
stock_cn,stock_cn_kline,sh600285,1H,2026-07-16T14:00:00+08:00,,22.79,23.06,22.72,22.99,3231350.0,74108100.0
stock_cn,stock_cn_kline,sh600285,1H,2026-07-16T15:00:00+08:00,,22.99,23.05,22.91,23.05,2459200.0,56547780.0
stock_cn,stock_cn_kline,sh600495,1H,2026-07-16T10:30:00+08:00,,3.75,3.82,3.74,3.8,4137380.0,15626550.0
stock_cn,stock_cn_kline,sh600495,1H,2026-07-16T11:30:00+08:00,,3.8,3.82,3.78,3.81,2757954.0,10487199.0
stock_cn,stock_cn_kline,sh600495,1H,2026-07-16T14:00:00+08:00,,3.8,3.81,3.78,3.79,1212399.0,4596060.0
stock_cn,stock_cn_kline,sh600495,1H,2026-07-16T15:00:00+08:00,,3.79,3.8,3.75,3.76,2824322.0,10634856.0
stock_cn,stock_cn_kline,sh600519,1H,2026-07-16T10:30:00+08:00,,1252.0,1264.62,1245.05,1256.0,2195960.0,2753169100.0
stock_cn,stock_cn_kline,sh600519,1H,2026-07-16T11:30:00+08:00,,1256.04,1263.0,1250.18,1261.0,849656.0,1068925900.0
stock_cn,stock_cn_kline,sh600519,1H,2026-07-16T14:00:00+08:00,,1260.26,1267.97,1260.26,1262.0,884659.0,1118701800.0
stock_cn,stock_cn_kline,sh600519,1H,2026-07-16T15:00:00+08:00,,1261.5,1263.51,1257.17,1258.99,830839.0,1046774100.0
stock_cn,stock_cn_kline,sh600580,1H,2026-07-16T10:30:00+08:00,,31.0,31.96,30.67,31.79,12442670.0,391611380.0
stock_cn,stock_cn_kline,sh600580,1H,2026-07-16T11:30:00+08:00,,31.81,31.86,31.57,31.68,3644066.0,115574830.0
stock_cn,stock_cn_kline,sh600580,1H,2026-07-16T14:00:00+08:00,,31.7,31.7,31.21,31.3,4120660.0,129361100.0
stock_cn,stock_cn_kline,sh600580,1H,2026-07-16T15:00:00+08:00,,31.3,31.33,31.0,31.1,6291718.0,195765630.0
stock_cn,stock_cn_kline,sh600667,1H,2026-07-16T10:30:00+08:00,,19.99,20.55,19.58,19.97,115063223.0,2309867300.0
stock_cn,stock_cn_kline,sh600667,1H,2026-07-16T11:30:00+08:00,,19.97,20.11,19.4,19.5,44649557.0,880390500.0
stock_cn,stock_cn_kline,sh600667,1H,2026-07-16T14:00:00+08:00,,19.5,19.5,18.74,18.77,56092650.0,1068036100.0
stock_cn,stock_cn_kline,sh600667,1H,2026-07-16T15:00:00+08:00,,18.78,18.94,18.73,18.73,21467480.0,402686000.0
stock_cn,stock_cn_kline,sh600751,1H,2026-07-16T10:30:00+08:00,,2.89,2.94,2.82,2.94,12871171.0,37019767.0
stock_cn,stock_cn_kline,sh600751,1H,2026-07-16T11:30:00+08:00,,2.93,2.95,2.91,2.93,8531172.0,24993159.0
stock_cn,stock_cn_kline,sh600751,1H,2026-07-16T14:00:00+08:00,,2.93,2.96,2.91,2.94,7350929.0,21589091.0
stock_cn,stock_cn_kline,sh600751,1H,2026-07-16T15:00:00+08:00,,2.92,2.94,2.89,2.9,5918012.0,17205466.0
stock_cn,stock_cn_kline,sh600838,1H,2026-07-16T10:30:00+08:00,,7.22,7.4,7.16,7.4,3542400.0,25828192.0
stock_cn,stock_cn_kline,sh600838,1H,2026-07-16T11:30:00+08:00,,7.4,7.41,7.34,7.4,1627900.0,12020591.0
stock_cn,stock_cn_kline,sh600838,1H,2026-07-16T14:00:00+08:00,,7.4,7.43,7.36,7.39,1051200.0,7774514.0
