space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,amount
stock_cn,stock_cn_kline,bj920000,1d,2026-07-02T15:00:00+08:00,,11.59,12.02,11.53,11.73,856824.0,10132700.83
stock_cn,stock_cn_kline,bj920000,1d,2026-07-03T15:00:00+08:00,,11.69,12.12,11.69,12.03,1118021.0,13401303.91
stock_cn,stock_cn_kline,bj920000,1d,2026-07-06T15:00:00+08:00,,11.95,12.08,11.53,11.67,706308.0,8302513.93
stock_cn,stock_cn_kline,bj920000,1d,2026-07-07T15:00:00+08:00,,11.68,11.93,11.3,11.33,422839.0,4880365.56
stock_cn,stock_cn_kline,bj920000,1d,2026-07-08T15:00:00+08:00,,11.49,11.69,11.16,11.22,327313.0,3687043.52
stock_cn,stock_cn_kline,bj920000,1d,2026-07-09T15:00:00+08:00,,11.16,11.41,10.75,11.25,716199.0,7923505.75
stock_cn,stock_cn_kline,bj920000,1d,2026-07-10T15:00:00+08:00,,11.25,11.75,10.92,11.65,949988.0,10960411.49
stock_cn,stock_cn_kline,bj920000,1d,2026-07-13T15:00:00+08:00,,11.6,11.76,11.2,11.38,540910.0,6211755.51
stock_cn,stock_cn_kline,bj920000,1d,2026-07-14T15:00:00+08:00,,11.38,11.53,11.15,11.42,324482.0,3685483.91
stock_cn,stock_cn_kline,bj920000,1d,2026-07-15T15:00:00+08:00,,11.48,11.91,11.27,11.62,817955.0,9565904.5
stock_cn,stock_cn_kline,bj920000,1d,2026-07-16T15:00:00+08:00,,11.61,11.88,11.38,11.85,503089.0,5900445.09
stock_cn,stock_cn_kline,bj920055,1d,2026-07-02T15:00:00+08:00,,27.92,28.79,27.51,28.13,515121.0,14611774.07
stock_cn,stock_cn_kline,bj920055,1d,2026-07-03T15:00:00+08:00,,28.33,29.39,27.88,29.18,843921.0,24402729.18
stock_cn,stock_cn_kline,bj920055,1d,2026-07-06T15:00:00+08:00,,29.46,29.46,28.34,28.51,414799.0,11928591.47
stock_cn,stock_cn_kline,bj920055,1d,2026-07-07T15:00:00+08:00,,28.35,28.72,27.53,27.6,323557.0,9073922.96
stock_cn,stock_cn_kline,bj920055,1d,2026-07-08T15:00:00+08:00,,27.55,27.61,27.02,27.05,377952.0,10293253.85
stock_cn,stock_cn_kline,bj920055,1d,2026-07-09T15:00:00+08:00,,27.05,27.39,26.41,26.68,404459.0,10838475.51
stock_cn,stock_cn_kline,bj920055,1d,2026-07-10T15:00:00+08:00,,26.65,27.43,26.57,27.28,277385.0,7514384.42
stock_cn,stock_cn_kline,bj920055,1d,2026-07-13T15:00:00+08:00,,27.05,27.25,25.92,25.99,422138.0,11105406.61
stock_cn,stock_cn_kline,bj920055,1d,2026-07-14T15:00:00+08:00,,26.25,26.54,25.88,26.48,265677.0,6944353.15
stock_cn,stock_cn_kline,bj920055,1d,2026-07-15T15:00:00+08:00,,26.35,26.88,26.31,26.68,263837.0,7033333.42
stock_cn,stock_cn_kline,bj920055,1d,2026-07-16T15:00:00+08:00,,26.79,26.88,26.33,26.73,246740.0,6575838.19
stock_cn,stock_cn_kline,bj920116,1d,2026-07-02T15:00:00+08:00,,64.99,67.83,64.13,66.1,4012874.0,266937339.95
stock_cn,stock_cn_kline,bj920116,1d,2026-07-03T15:00:00+08:00,,66.42,70.5,65.88,69.58,4841780.0,334620513.28
stock_cn,stock_cn_kline,bj920116,1d,2026-07-06T15:00:00+08:00,,70.38,70.74,64.2,64.3,4527592.0,302428669.83
stock_cn,stock_cn_kline,bj920116,1d,2026-07-07T15:00:00+08:00,,64.03,66.53,64.03,64.86,2535124.0,165139126.96
stock_cn,stock_cn_kline,bj920116,1d,2026-07-08T15:00:00+08:00,,64.3,65.63,62.61,62.98,2421499.0,154782799.59
stock_cn,stock_cn_kline,bj920116,1d,2026-07-09T15:00:00+08:00,,62.88,65.69,62.64,65.64,2836720.0,182759849.15
stock_cn,stock_cn_kline,bj920116,1d,2026-07-10T15:00:00+08:00,,66.56,77.6,64.6,71.58,11382932.0,830412762.02
stock_cn,stock_cn_kline,bj920116,1d,2026-07-13T15:00:00+08:00,,69.0,70.77,64.2,64.64,7723580.0,512511395.75
stock_cn,stock_cn_kline,bj920116,1d,2026-07-14T15:00:00+08:00,,64.02,64.94,56.48,58.18,5835490.0,345746874.47
stock_cn,stock_cn_kline,bj920116,1d,2026-07-15T15:00:00+08:00,,55.14,55.85,49.95,49.99,7514097.0,397706095.52
stock_cn,stock_cn_kline,bj920116,1d,2026-07-16T15:00:00+08:00,,48.99,50.39,47.68,48.28,3448502.0,167999865.56
stock_cn,stock_cn_kline,bj920184,1d,2026-07-02T15:00:00+08:00,,12.22,12.67,11.73,11.78,3626807.0,44323064.11
