space_id,dataset_id,subject_id,freq,data_time,open,high,low,close,volume,quote_volume,funding_rate
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T00:00:00Z,65014.6,65043.3,64743.6,64798.1,4489.662,291260853.7614,0.0001
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T01:00:00Z,64798.1,64830.2,64618.8,64643.7,3480.114,225192393.8365,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T02:00:00Z,64643.7,64732.6,64456.7,64473.0,3174.884,204927664.3184,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T03:00:00Z,64473.1,64820.1,64473.0,64760.8,2866.928,185373608.7525,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T04:00:00Z,64760.9,64868.0,64686.6,64723.5,2176.426,140985278.8657,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T05:00:00Z,64723.6,64941.7,64580.0,64920.5,2716.995,175883868.9139,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T06:00:00Z,64920.5,65260.0,64784.7,64784.7,8661.145,563221809.3933,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T07:00:00Z,64784.8,64850.0,64450.9,64528.0,6827.282,441139628.6091,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T08:00:00Z,64528.0,64785.8,64528.0,64745.0,3889.073,251427366.9281,0.0001
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T09:00:00Z,64744.9,64899.9,64626.2,64644.6,3146.199,203786245.6668,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T10:00:00Z,64644.6,64826.8,64582.7,64633.0,2611.385,168912790.9394,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T11:00:00Z,64633.0,64728.7,64585.6,64707.5,1873.463,121146338.1558,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T12:00:00Z,64707.4,65241.3,64568.8,65133.7,12263.474,795838971.2457,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T13:00:00Z,65133.7,65550.5,64852.5,65090.2,18067.99,1179423648.0364,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T14:00:00Z,65090.2,65497.0,65033.5,65364.8,10429.982,680937670.9553,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T15:00:00Z,65364.8,65589.7,65230.0,65391.6,7683.692,502612907.0317,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T16:00:00Z,65391.5,65438.0,64752.0,65089.5,14894.086,968547770.8818,4.457e-05
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T17:00:00Z,65089.6,65148.2,64939.5,65023.1,8953.781,582313076.8968,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T18:00:00Z,65023.1,65130.0,64817.1,64837.4,3429.166,222862977.9524,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T19:00:00Z,64837.4,64967.9,64708.0,64942.0,2826.502,183299698.94,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T20:00:00Z,64942.1,65030.5,64869.8,64939.9,1207.369,78429427.9175,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T21:00:00Z,64939.9,64985.9,64756.7,64800.0,1958.445,126975118.9475,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T22:00:00Z,64800.0,64949.7,64739.0,64831.5,2140.517,138800750.2988,
crypto,binance_perpetual_kline_1h,BTC-USDT,1h,2026-07-15T23:00:00Z,64831.6,64912.5,64660.0,64721.4,2455.054,158978086.1172,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T00:00:00Z,1891.12,1892.5,1877.02,1880.71,139598.737,262804627.78461,3.834e-05
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T01:00:00Z,1880.7,1881.24,1865.59,1869.33,164176.284,307250261.38677,
